#separator:tab
#html:false
#columns:Front	Back
achieve (核心动词（约 120）)	实现（achieve a goal）
affect (核心动词（约 120）)	v.影响（别写成 effect）
afford (核心动词（约 120）)	负担得起
allow (核心动词（约 120）)	允许（allow sb to do）
appear (核心动词（约 120）)	出现；似乎
apply (核心动词（约 120）)	申请 apply for；应用 apply to
appreciate (核心动词（约 120）)	感激；欣赏
approach (核心动词（约 120）)	v.接近；n.方法
argue (核心动词（约 120）)	争论；主张
arrange (核心动词（约 120）)	安排
assume (核心动词（约 120）)	假定；承担
avoid (核心动词（约 120）)	避免（avoid doing）
base (核心动词（约 120）)	以…为基础（be based on）
belong (核心动词（约 120）)	属于（belong to）
benefit (核心动词（约 120）)	v./n.有益；好处
blame (核心动词（约 120）)	责备（blame sb for）
borrow (核心动词（约 120）)	借入
bother (核心动词（约 120）)	打扰；费心
break (核心动词（约 120）)	打破；违反
bring (核心动词（约 120）)	带来（bring about 导致）
build (核心动词（约 120）)	建造；培养
calculate (核心动词（约 120）)	计算
cause (核心动词（约 120）)	导致；原因
celebrate (核心动词（约 120）)	庆祝
challenge (核心动词（约 120）)	v./n.挑战
change (核心动词（约 120）)	改变
choose (核心动词（约 120）)	选择
claim (核心动词（约 120）)	声称；索赔
collect (核心动词（约 120）)	收集
combine (核心动词（约 120）)	结合（combine with）
compare (核心动词（约 120）)	比较（compare with/to）
compete (核心动词（约 120）)	竞争（compete with）
complain (核心动词（约 120）)	投诉（complain about）
complete (核心动词（约 120）)	完成；完整的
concentrate (核心动词（约 120）)	集中（concentrate on）
concern (核心动词（约 120）)	涉及；担忧（be concerned about）
conclude (核心动词（约 120）)	得出结论
conduct (核心动词（约 120）)	进行（conduct a survey）
confirm (核心动词（约 120）)	确认
consider (核心动词（约 120）)	考虑（consider doing）
consist (核心动词（约 120）)	由…组成（consist of）
contain (核心动词（约 120）)	包含
continue (核心动词（约 120）)	继续
contribute (核心动词（约 120）)	贡献；促成（contribute to）
control (核心动词（约 120）)	控制
convince (核心动词（约 120）)	说服（convince sb of/that）
correct (核心动词（约 120）)	纠正；正确的
create (核心动词（约 120）)	创造
criticise / criticize (核心动词（约 120）)	批评
decide (核心动词（约 120）)	决定（decide to do）
decline (核心动词（约 120）)	宣布；声明
decrease (核心动词（约 120）)	减少
