C语言中 int 类型的典型字节数是多少？	4 字节（32位/64位系统通用口径；char=1，double=8）
C语言整除 7/2 的结果是？	3（两个整数相除直接舍去小数，不四舍五入）
C语言求余运算符是什么？7%3 等于？	%（取模）；7%3=1（余数符号与被除数相同）
C语言中 = 和 == 的区别？	= 是赋值；== 是判断相等（条件判断里写错是最经典扣分点）
C语言逻辑与/或/非运算符分别是？	&&（与）、||（或）、!（非）；&& 优先级高于 ||
C语言 printf 输出 double 用什么占位符？	%lf（scanf 读 double 也用 %lf；float 用 %f）
C语言中 char c='A'; printf("%d",c) 输出什么？	65（char 本质是 ASCII 编码整数，'A'=65，'a'=97，'0'=48）
C语言变量未初始化就使用会怎样？	值是内存里的随机垃圾值——sum/count 忘初始化是全卷最冤丢分（累加用0起步，累乘用1起步）
C语言自增 i++ 与 ++i 的区别？	i++ 先用后加（表达式的值是旧值）；++i 先加后用（表达式的值是新值）
C语言强制类型转换 (int)3.9 的结果？	3（直接截断小数，不四舍五入）
C语言 main 函数的标准写法与返回值？	int main(void){...return 0;} —— 返回 0 表示程序正常结束
C语言注释的两种写法？	// 单行注释；/* 多行注释 */（不能嵌套）
极限 lim(x→0) sinx/x 的值？	1（重要极限一；sin□/□ 型直接套）
极限 lim(x→∞) (1+1/x)^x 的值？	e（重要极限二；(1+□)^(1/□) 型套用）
lim(x→0) tan5x/sin3x 的值？	5/3（等价无穷小：tan5x~5x，sin3x~3x，乘除位置放心换）
lim(x→∞) (3x²+2x)/(5x²−1) 的值？	3/5（抓大头：x→∞ 多项式比只看最高次系数）
lim(x→∞) (2x²)/(x³) 的值？	0（分母阶数高 → 极限为 0；反之 ∞）
lim(x→0) (e^x−1)/x 的值？	1（等价无穷小：e^x−1 ~ x）
lim(x→0) (1−cosx)/x² 的值？	1/2（等价：1−cosx ~ x²/2）
lim(x→0) (x−sinx)/x³ 能用 x−x=0 的等价替换吗？	不能！加减位置慎用等价替换，此题须洛必达/泰勒，答案 1/6 ≠ 0
级数 Σaₙ 收敛的必要条件是？	lim(n→∞) aₙ = 0（注意：通项趋于0不保证收敛，只是必要条件）
什么情况下洛必达法则不能直接用？	①非 0/0 或 ∞/∞ 型 ②求导后振荡无极限（如 (x+sinx)/x，洛必达失效≠极限不存在）
