lim(x→0) sinx/x 的值？	1（重要极限一）
lim(x→∞) (1+1/x)^x 的值？	e（重要极限二）
lim(x→∞) (3x²+2x)/(5x²−1) 的值？	3/5（抓大头：多项式比看最高次系数）
lim(x→0) tan5x/sin3x 的值？	5/3（等价无穷小替换：tan5x~5x、sin3x~3x）
lim(x→0) (e^x−1)/x 的值？	1（等价：e^x−1 ~ x）
lim(x→0) (1−cosx)/x² 的值？	1/2（等价：1−cosx ~ x²/2）
lim(x→0) (x−sinx)/x³ 的值？	1/6（加减慎用等价替换！此题用洛必达或泰勒）
洛必达法则的使用前提？	必须是 0/0 或 ∞/∞ 未定式；分子分母分别求导；用后先化简再判断
lim(x→∞) (x+sinx)/x 的值？	1（sinx/x → 0 因为有界×无穷小；注意洛必达对此题失效但不代表极限不存在）
Σaₙ 收敛的必要条件？	通项 lim aₙ = 0（必要不充分）
x→0 时 8 个常用等价无穷小？	sinx~x、tanx~x、arcsinx~x、arctanx~x、1−cosx~x²/2、ln(1+x)~x、e^x−1~x、(1+x)^a−1~ax
lim(x→1) (x²−1)/(x²−x) 的值？	2（先因式分解约去 (x−1)，再代入，比洛必达快）
