#separator:tab
#html:false
#columns:Front	Back
马克思主义中国化时代化的根本途径是什么？	两个结合：把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合
毛泽东思想活的灵魂是什么？	实事求是、群众路线、独立自主
社会主义本质（邓小平）是什么？	解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到共同富裕
党在社会主义初级阶段的基本路线是什么？	一个中心、两个基本点：以经济建设为中心，坚持四项基本原则，坚持改革开放
三个代表重要思想的内容是什么？	代表中国先进生产力的发展要求，代表中国先进文化的前进方向，代表中国最广大人民的根本利益
科学发展观的第一要义、核心立场、基本要求、根本方法是什么？	第一要义是发展；核心立场是以人为本；基本要求是全面协调可持续；根本方法是统筹兼顾
两个确立指什么？	确立习近平同志党中央的核心、全党的核心地位；确立习近平新时代中国特色社会主义思想的指导地位
两个维护指什么？	坚决维护习近平总书记党中央的核心、全党的核心地位，坚决维护党中央权威和集中统一领导
中国特色社会主义最本质的特征是什么？	中国共产党领导
中国式现代化的五个特色是什么？	人口规模巨大的现代化、全体人民共同富裕的现代化、物质文明和精神文明相协调的现代化、人与自然和谐共生的现代化、走和平发展道路的现代化
新发展理念是什么？	创新、协调、绿色、开放、共享
全面建设社会主义现代化国家的首要任务是什么？	高质量发展
全过程人民民主的本质是什么？	人民当家作主；是全链条、全方位、全覆盖的民主
社会主义核心价值观 24 字是什么？	富强、民主、文明、和谐（国家层面）；自由、平等、公正、法治（社会层面）；爱国、敬业、诚信、友善（个人层面）
绿水青山就是金山银山体现了什么？	生态文明建设；人与自然和谐共生的发展理念
总体国家安全观的宗旨、根本、基础分别是什么？	宗旨是人民安全；根本是政治安全；基础是经济安全
党在新形势下的强军目标是什么？	听党指挥、能打胜仗、作风优良
人类命运共同体的核心主张是什么？	建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界
跳出历史周期率的第二个答案是什么？	自我革命（第一个答案是毛泽东同志提出的'让人民来监督政府'）
'江山就是人民，人民就是江山'体现了什么？	以人民为中心的发展思想；人民至上
新时代我国社会主要矛盾是什么？	人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾
我国根本政治制度与基本政治制度如何区分？	根本政治制度是人民代表大会制度；基本政治制度包括中国共产党领导的多党合作和政治协商制度、民族区域自治制度、基层群众自治制度
市场与政府的作用如何区分？	市场在资源配置中起决定性作用；政府更好发挥作用
'两个结合'分别结合什么？	同中国具体实际相结合、同中华优秀传统文化相结合
